LIBID,Year,LibraryName,Address,City,ZIP,MailingAddress,MailingCity,MailingZIP,County,Phone,DistCoop,CentralLibrary,Branches,Bookmobiles,RegisteredUsers,RegisteredUsersAdded,LibrariansALAMLS,LibrariansTotal,OtherStaff,Volunteers,VolunteerHours,FriendsGroup,Foundation,StaffPositionsFT,StaffPositionsPTUnder20,StaffPositionsPTOver20,StaffPositionsTempOnCall,RevenueCity,RevenueCounty,RevenueDistrict,RevenueState,RevenueLSTA,RevenueErate,RevenueOtherFed,RevenueOtherOperating,CaptialRevenueLocal,CapitalRevenueState,CapitalRevenueFed,CapitalRevenueOther,ExpendituresSalariesWages,ExpendituresBenefits,ExpendituresPrintMaterials,ExpendituresPeriodicals,ExpendituresElectronicMaterials,ExpendituresOtherMaterials,ExpendituresOtherOperating,ExpendituresServiceCharges,CapitalExpendituresConstruction,CapitalExpendituresEquipment,CapitalExpendituresOther,CollectionBooks,CollectionBooksAdded,CollectionPhysicalAudio,CollectionPhysicalAudioAdded,CollectionVideosPhysical,CollectionVideosPhysicalAdded,CollectionOtherMaterials,CollectionOtherMaterialsAdded,CollectionEbooksODLC,CollectionEbooksODLCAdded,CollectionEbooksLocal,CollectionEbooksLocalAdded,CollectionAudiobooksODLC,CollectionAudiobooksODLCAdded,CollectionAudiobooksLocal,CollectionAudiobooksLocalAdded,CollectionDigitalVideosODLC,CollectionDigitalVideosODLCAdded,CollectionDigitalVideosLocal,CollectionDigitalVideosLocalAdded,CollectionPhysicalSpanish,CollectionDigitalSpanish,CollectionOtherLanguages,CollectionDatabasesLocal,CollectionDatabasesLocalAdded,CollectionStatewideDatabases,CollectionStatewideDatabasesAdded,DatabaseUsageStatewide,DatabaseUsageLocal,CircAdult,CircAdultRenewals,CircYA,CircYARenewals,CircChildrens,CircChildrensRenewals,CircOtherMaterials,CircOtherMaterialsRenewals,CircNoAgeCategory,CircNoAgeCategoryRenewals,CircODLC,CircEcontentLocal,CircNetworkLoans,CircILLLoans,CircNetworkBorrows,CircILLBorrows,CircNonresidents,ReferenceTransactions,ReferenceTransactionsMethod,MeetingRoomUse,ProgramsSummerReading,ProgramsKids0-11,ProgramsKids0-11Attendance,ProgramsKids0-5,ProgramsKids0-5Attendance,ProgramsKids6-11,ProgramsKids6-11Attendance,ProgramsYA12-18,ProgramsYA12-18Attendance,ProgramsAdults,ProgramsAdultsAttendance,ProgramsGeneralInterest,ProgramsGeneralInterestAttendance,ProgramsInPersonOnsite,ProgramsInPersonOnsiteAttendance,ProgramsInPersonOffsite,ProgramsInPersonOffsiteAttendance,ProgramsVirtual,ProgramsVirtualAttendance,ProgramsRecorded,ProgramsRecordedViews,ProgramsSelfDirected,ProgramsSelfDirectedParticipants,TechPublicComputersSessions,TechPublicComputersMethod,TechPublicComputers,TechWiFiScenario,TechWiFiSessions,TechWiFiSessionsMethod,TechDownloadSpeed,TechUploadSpeed,TechSharedILS,TechILSProductName,TechWebsiteVisits,HoursWeekday,HoursWeekdayEvening,HoursWeekend,HoursWeekendEvening,WeeksOpenYear,HoursOpenYear,LibraryVisits,LibraryVisitsMethod,FacilitiesSqFtCentral,FacilitiesSqFtTotal,FacilitiesConstructionDate,FacilitiesRemodelDate,FinesAdultMaterials,FinesChildrensMaterials,FinesYAMaterials,FeesILL,FeesNonresident,SalaryDirectorHourlyLow,SalaryDirectorHourlyHigh,SalarySupervisoryLibHourlyLow,SalarySupervisoryLibHourlyHigh,SalaryLibrarianHourlyLow,SalaryLibrarianHourlyHigh,SalaryLibAssistHourlyLow,SalaryLibAssistHourlyHigh,SalaryLibClerkHourlyLow,SalaryLibClerkHourlyHigh,PopulationServed,InterlibraryRelationshipCode,LegalBasisCode,AdminStructureCode,PLSCPubLibDefinition,GeographicCode,Website
OR0140,2022,Lane Library District,64 W Oregon Ave,Creswell,97426,PO Box 366,Creswell,97426,Lane,541-895-3053,NONE,1,0,0,2936,364,2,2,1.9,45,2440,TRUE,TRUE,2,2,1,0,0,0,469630,1416,0,,0,14630,0,0,0,3799,195212,72308,20234,,1889,0,106519,,0,0,0,38402,1697,1769,66,4861,200,604,48,56416,8403,260,45,35057,3841,404,79,,,0,0,695,3832,,0,0,22,0,29,0,9374,1937,982,284,11819,1550,429,132,25,7,13320,10900,541,0,718,0,545,0,N/A (we do not track reference transactions),0,TRUE,,,104,1166,63,2547,111,564,58,348,0,0,19,222,78,1561,206,1834,0,0,9,660,1088,Actual count,4,Wi-Fi extends outside building (left on 24/7),n/a,N/A (we don't track Wi-Fi usage),500,500,Lane Council of Libraries,SirsiDynix,114859,31,8,6,0,52,2309,,N/A (we do not track library visits),7000,7000,,2019,No,No,No,return postage,50,33.83,52.09,,,26.09,40.19,17.1,26.34,,,10095,ME,LD,SO,TRUE,OTH,https://www.creswell-library.org/
OR0032,2022,Langlois Library District,48234 Hwy 101,Langlois,97450,PO Box 277,Langlois,97450,Curry,541-348-2066,NONE,1,0,0,721,39,0,1,0.5,25,408,TRUE,FALSE,1,0,2,0,0,0,90256,1000,0,,0,9122,0,0,0,0,48931,3727,4419,,468,1854,35483,,0,1579,0,14146,393,717,22,2745,77,10,4,56416,8403,0,0,35057,3841,0,0,,,0,0,15,0,,4,1,22,0,0,0,6520,5351,520,471,798,495,45,38,0,0,625,0,3123,0,2015,5,7254,0,N/A (we do not track reference transactions),24,TRUE,,,8,67,8,67,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,Actual count,5,Wi-Fi extends outside building (left on 24/7),339,Actual count,339.9,10.7,Coastline,Koha,3791,30,0,6,0,52,1560,5038,Actual count,3100,3100,,2002,No,No,No,0,100,14,17,0,0,0,0,14,16,0,0,714,ME,LD,SO,TRUE,OTH,https://langloispubliclibrary.org/
OR0033,2022,Lebanon Public Library,55 Academy St,Lebanon,97355,55 Academy St,Lebanon,97355,Linn,541-258-4926,NONE,1,0,0,7950,841,0,1,5.25,25,1714,TRUE,FALSE,4,4,1,0,631895,0,0,2894,0,,0,47690,0,0,0,0,331550,170237,28419,,8328,5664,42915,,0,0,0,42337,2143,4013,157,6162,246,313,63,56416,8403,0,0,35057,3841,0,0,,,0,0,227,0,,4,0,22,0,21,1290,49401,4897,5895,631,59852,4083,0,0,0,0,16967,0,0,0,0,11,4952,14952,Actual count,2,TRUE,,,28,3167,0,0,0,0,0,0,0,0,12,777,0,0,0,0,541,95410,52,2842,11805,Actual count,17,Wi-Fi extends outside building (left on through evening hours after library closes),52537,Actual count,90.95,33.2,Linn Libraries Consortium,Evergreen,16367,28,4,10,0,52,2086,56693,Actual count,19345,19345,,,Yes,No,No,3,50,44.4,58.97,,,,,21.3,26.65,18.69,24.82,19122,NO,CI,SO,TRUE,PL1,www.ci.lebanon.or.us/library
OR0043,2022,Ledding Library,10660 SE 21st Ave,Milwaukie,97222,10660 SE 21st Ave,Milwaukie,97222,Clackamas,503-786-7580,LINCC,1,0,0,17058,3398,6.48,6.48,9.67,896,6738,TRUE,TRUE,10,12,1,15,0,933000,1908963,6288,0,,0,45009,0,0,0,0,1225929,663673,101445,,43609,28582,43851,Administration; Facilities; Human Resources; Information Technology; Legal; Finance,0,0,0,69369,7783,7719,503,14243,1287,664,219,56416,8403,9794,3349,35057,3841,6879,2347,,,0,0,2769,3529,"Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Ilocano, Samoan or Hawaiian; Japanese; Korean; Russian; Swahili; Tagalog; Thai, Lao; Ukrainian; Vietnamese; other",4,0,22,0,429,13881,154109,88486,10901,8669,170013,88863,462,12,0,0,34114,15338,120580,538,180361,551,351650,21445,Actual count,0,TRUE,,,8,600,13,1136,0,0,0,0,0,0,0,0,0,0,59,1750,58,1582,68,5679,9250,Actual count,10,Wi-Fi only available inside during open hours,8955,Actual count,941.63,921.27,LINCC,SirsiDynix,158647,35,12,12,2,52,3100,149899,Actual count,18095,18095,,2019,Yes,Yes,Yes,0,95,48.15,61.4,35.93,45.86,28.14,35.93,23.14,29.55,19.01,24.31,41638,ME,CI,SO,TRUE,PL2,https://www.milwaukieoregon.gov/library
OR9012,2022,Lower Umpqua Library District,395 Winchester Ave,Reedsport,97467,395 Winchester Ave,Reedsport,97467,Douglas,541-271-3500,NONE,1,0,0,1562,265,1,1,1.8,10,620,TRUE,FALSE,1,3,0,0,0,0,210815,2347,7682,,0,14581,0,0,0,8000,107447,23661,6253,,4608,1754,48160,,855,0,9777,12863,979,916,65,2497,422,4,2,56416,8403,0,0,35057,3841,0,0,,,0,0,152,0,Chinese (including Mandarin & Cantonese); French; Vietnamese,2,0,22,0,72,34,8417,1779,432,233,3827,2922,48,0,1406,0,3059,0,0,0,0,0,0,500,Estimate,13,TRUE,,,0,0,0,0,0,0,1,2,1,16,2,18,0,0,0,0,34,905,81,2309,2587,Actual count,7,Wi-Fi extends outside building (left on 24/7),16692,Estimate,86.1,24.6,NONE,Koha,10893,28,4,4,0,52,36,2200,Estimate,5700,5700,,1982,Yes,Yes,Yes,We don't offer ILL at our library,30,24.51,26.44,,,,,12.5,17.25,,,6303,NO,LD,SO,TRUE,OTH,https://www.luld.org/
OR0036,2022,Lyons Public Library,279 8th St,Lyons,97358,448 Cedar St,Lyons,97358,Linn,503-859-2366,CCRLS,1,0,0,719,81,0,1.66,0,67,779,TRUE,FALSE,0,1,2,0,50000,0,15799,1000,0,,0,1232,0,0,0,0,40308,17640,3797,,238,3202,189,other,0,160,0,24818,826,747,23,2312,191,109,3,56416,8403,0,0,35057,3841,0,0,,,24390,0,9,0,French; other,8,,22,0,0,195,4982,2295,421,215,2011,1517,22,29,10,10,3050,56,18329,81,3034,0,6792,1300,Estimate,,TRUE,,,23,147,23,147,23,147,0,79,23,147,0,0,1,210,0,0,0,0,14,642,940,Estimate,4,Wi-Fi extends outside building (only available during open hours),n/a,N/A (we don't track Wi-Fi usage),47.78,28.05,CCRLS,SirsiDynix,,19,2,6,0,52,1677,1400,Estimate,3250,3250,,,No,No,No,0,,,,0,0,0,0,,0,,0,1207,ME,CI,SO,TRUE,PL1,https://www.cityoflyons.org/community/library/
OR0122,2022,Mary Gilkey Public Library,416 Ferry St,Dayton,97114,PO Box 339,Dayton,97114,Yamhill,503-864-2221,CCRLS,1,0,0,1798,57,1,1,0.5,1,143,FALSE,FALSE,1,1,0,0,87631,0,0,0,1000,,0,0,0,0,0,0,54284,31176,5000,,0,1000,0,Administration; Facilities; Human Resources; Information Technology; Legal; Finance; other,0,0,0,9024,665,61,1,1048,73,30,1,56416,8403,0,0,35057,3841,0,0,,,0,0,570,0,,8,0,22,0,2506,446,2072,1265,154,141,1515,1187,17,5,19,5,,128,5601,0,3228,0,2557,26,Estimate,0,TRUE,,,0,0,0,0,0,0,0,0,1,125,3,225,1,10,0,0,0,0,30,750,520,Estimate,3,Wi-Fi extends outside building (left on 24/7),n/a,N/A (we don't track Wi-Fi usage),51.64,51.71,CCRLS,SirsiDynix,0,26,0,0,0,50,1276,,N/A (we do not track library visits),1380,1380,,1955,No,No,No,0,,22.44,29.29,0,0,0,0,16.33,16.33,0,0,2698,ME,CI,SO,TRUE,PL1,http://www.ci.dayton.or.us/page/library_home
OR0039,2022,Mcminnville Public Library,225 NW Adams St,Mcminnville,97128,225 NW Adams St,Mcminnville,97128,Yamhill,503-435-5569,CCRLS,1,0,1,16787,1626,6.5,8.5,7.4,95,4640,TRUE,TRUE,12,2,7,0,1748633,0,193097,8663,5000,,0,71916,0,0,0,0,1036792,588773,69052,,9930,14067,298647,Administration; Information Technology; Finance,0,7137,0,81834,5293,4915,288,11164,1092,1454,267,56416,8403,919,82,35057,3841,1225,117,,,29330,2868,2777,12,,8,0,22,0,183,5626,83580,43815,7968,7376,65660,48940,3985,3618,0,0,47873,10247,33879,136,37265,56,76319,7631,Estimate,260,TRUE,,,45,1397,39,1301,20,363,17,193,29,1153,79,3832,83,2674,10,77,6,28,3,160,8440,Actual count,19,Wi-Fi extends outside building (left on 24/7),137039,Estimate,92.8,93.5,CCRLS,SirsiDynix,118291,24,4,6,1,52,1778,80723,Estimate,22000,22000,,1982,No,No,No,1,60,53,79.48,35.1,52.66,30.97,46.47,17.71,23.03,15.72,20.43,34251,ME,CI,MO,TRUE,PL1,https://www.mcminnvilleoregon.gov/library
OR0042,2022,Milton-Freewater Public Library,8 SW 8th Ave,Milton-Freewater,97862,8 SW 8th Ave,Milton-Freewater,97862,Umatilla,541-938-8247,UCSLD,1,0,0,3150,319,0,0,3.93,3,624,TRUE,FALSE,3,1,1,0,76539,0,236239,2874,0,,0,0,0,0,0,0,201043,133500,16088,,0,4080,27732,,0,4478,0,27191,1395,1483,11,2915,247,59,2,56416,8403,0,0,35057,3841,0,0,,,0,0,758,0,,6,0,22,0,0,0,10949,3066,609,250,9168,3033,0,0,2330,577,6087,0,3071,0,3102,0,0,0,N/A (we do not track reference transactions),168,TRUE,,,52,560,24,250,2,10,12,80,0,0,90,900,0,0,0,0,0,0,4400,4400,,N/A (we don't track computer usage),12,Wi-Fi extends outside building (left on 24/7),n/a,N/A (we don't track Wi-Fi usage),90,70,Sage,Evergreen,0,32,8,4,0,52,2288,,N/A (we do not track library visits),12800,12800,,2003,Yes,Yes,Yes,0,35,37.73,37.73,0,0,0,0,0,0,18,23.01,9847,ME,CI,SO,TRUE,PL2,https://www.mfcity.com/library
OR0044,2022,Molalla Public Library,201 E 5th St,Molalla,97038,PO Box 1289,Molalla,97038,Clackamas,503-829-2593,LINCC,1,0,0,5869,739,3,3,5.5,4,12,TRUE,TRUE,5,0,10,1,0,0,1025811,4603,0,,0,8062,0,0,107796,0,422280,165115,63672,,12823,22765,201982,,0,0,107796,41702,5762,5076,344,10970,1455,406,85,56416,8403,9794,3349,35057,3841,6879,2347,,,0,0,1896,3529,"Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Ilocano, Samoan or Hawaiian; Japanese; Korean; Russian; Ukrainian; Vietnamese; other",5,0,22,0,262,7818,47102,22986,4035,2491,42753,20426,81,7,0,0,14145,7165,86751,338,44724,66,101431,250,Estimate,55,TRUE,,,68,1677,16,515,28,623,27,1365,9,725,137,4337,11,568,0,0,0,0,4,132,1966,Actual count,6,other situation,1212,Actual count,656.62,892.59,LINCC,SirsiDynix,79811,30,8,10,0,52,2450,28493,Actual count,10000,10000,,2001,Yes,Yes,Yes,0,95,38.88,45.08,23.76,30.76,23.76,30.76,15.53,24.38,15.53,24.38,25402,ME,CI,SO,TRUE,PL2,https://www.cityofmolalla.com/library
OR0045,2022,Monmouth Public Library,168 S Ecols St,Monmouth,97361,PO Box 10,Monmouth,97361,Polk,503-838-1932,CCRLS,1,0,0,3607,379,3,3,3.45,23,1081,TRUE,FALSE,3,6,0,0,596813,0,99257,1772,8500,,0,4719,0,0,0,0,383885,183022,43921,,6674,5963,87597,,0,0,0,67161,3142,4134,172,4505,192,120,11,56416,8403,4948,971,35057,3841,812,60,,,29330,2868,940,0,,8,0,22,0,4,1616,29861,14655,2375,2210,22618,17334,304,140,2,2,13527,3043,63256,48,55163,10,14304,2142,Estimate,4,TRUE,,,16,568,13,731,6,99,1,105,0,0,0,0,8,780,19,113,2,0,,,2205,Actual count,11,Wi-Fi extends outside building (only available during open hours),12288,Estimate,47,43.78,CCRLS,SirsiDynix,4651,28,10,7,0,52,2340,27922,Estimate,14400,14400,,1995,No,No,No,0,60,,,,,,,,,,,11142,ME,CI,SO,TRUE,PL1,https://www.ci.monmouth.or.us/pview.aspx?id=4742
OR0047,2022,Mt. Angel Public Library,290 E Charles St,Mount Angel,97362,PO Box 870,Mount Angel,97362,Marion,503-845-6401,CCRLS,1,0,0,1277,188,0.95,0.95,1.05,34,1081,TRUE,FALSE,1,1,1,0,165318,0,38422,1000,0,,17600,13844,0,0,0,0,114538,41386,14228,,0,2575,63457,,0,0,0,25171,1667,440,9,1952,127,100,25,56416,8403,4948,866,35057,3841,812,0,,,29330,2868,782,872,German; Russian,8,0,22,0,0,572,8599,5537,1150,819,12585,7186,0,0,3,1,2914,164,11800,45,9800,12,11302,2621,Actual count,162,TRUE,,,9,197,46,798,13,81,18,62,0,0,102,1777,13,1129,45,335,0,0,51,3526,298,Actual count,4,Wi-Fi extends outside building (left on 24/7),17157,Actual count,57.59,2.92,CCRLS,SirsiDynix,2434,26,3,5,0,51,1734,11206,Actual count,4100,4100,,2019,No,No,No,0,60,30.11,38.44,,,19.37,24.73,17.77,22.67,,,3418,ME,CI,SO,TRUE,PL1,https://mtangelpubliclibrary.com/
OR0063,2022,Multnomah County Library,919 NE 19th Ave,Portland,97232,"919 NE 19th Ave, Suite 250",Portland,97232,Multnomah,503-988-5403,NONE,1,18,0,361923,54713,63.25,63.25,470.75,861,19211,TRUE,TRUE,392,135,101,51,520339,35009,84713216,115000,91633,,0,2791014,0,0,0,0,30079633,21607739,2420024,,5024678,61130,22129790,Administration; Facilities; Human Resources; Information Technology; Legal; Finance; other,27850182,117087,170574,1541703,174928,46325,6227,121108,22168,6345,141,0,0,643414,92534,0,0,385176,96647,,,48356,3686,59041,14865,Arabic; Chinese (including Mandarin & Cantonese); French; German; Japanese; Korean; Russian; Somali; Ukrainian; Vietnamese,136,0,22,0,13834,528591,,,,,,,,,3495711,7718253,,5292344,0,0,0,1897,451849,,N/A (we do not track reference transactions),44,TRUE,,,,,,,,,,,,,423,2003,424,9158,1668,27696,76,2494,,,238112,Actual count,576,Wi-Fi extends outside building (left on 24/7),2151489,Actual count,880.06,875.26,NONE,SirsiDynix,6138568,33,7,14,1,46,2624,1696686,Actual count,125000,277462,,2022,No,No,No,as charged by other library / OCLC cost,180,62.67,100.28,,,30.56,37.5,22.9,28.05,19.29,23.57,820672,NO,LD,MA,TRUE,CO1,https://multcolib.org/
OR0050,2022,Newberg Public Library,503 E Hancock St,Newberg,97132,503 E Hancock St,Newberg,97132,Yamhill,503-537-0304,CCRLS,1,0,0,10579,1195,5,5,6.87,410,2784,TRUE,TRUE,9,3,1,4,1682911,0,0,3819,5000,,0,32252,0,0,0,0,70452,360686,97835,,9275,2510,76278,Administration; Information Technology,0,3050,0,76682,6259,4869,337,5346,337,555,84,56416,8403,593,76,35057,3841,414,56,,,30000,0,4436,0,,9,0,22,0,223,3921,49164,31084,6354,6680,80149,66190,1659,594,0,0,39852,5339,44451,55,49747,39,13372,20649,Actual count,400,TRUE,,,76,4026,58,3555,87,1059,62,2289,0,0,293,11381,7,235,26,374,16,213,62,9487,3678,Actual count,12,Wi-Fi extends outside building (left on through evening hours after library closes),32000,Estimate,94.37,87.97,CCRLS,SirsiDynix,18494,28,8,7,1,46,1956,65646,Actual count,22500,22500,,1985,Yes,Yes,Yes,0,80,52.09,66.69,33.46,42.83,27.24,34.88,24.14,30.9,17.93,22.95,25376,ME,CI,SO,TRUE,PL1,https://www.newbergoregon.gov/library
OR0051,2022,Newport Public Library,35 NW Nye St,Newport,97365,35 NW Nye St,Newport,97365,Lincoln,541-574-0600,LCLD,1,0,0,9530,1284,4,6,3.6,35,2541,FALSE,TRUE,9,1,0,0,530623,0,367339,1257,4700,,3000,31480,117500,0,0,0,471253,233158,64873,,27072,16518,145865,Facilities; Human Resources; Information Technology; other,162000,34000,8348,58302,3373,3595,243,6752,617,79,16,56416,8403,3304,0,35057,3841,0,0,,,0,0,1950,0,Mam; other,7,0,22,0,138,8205,59798,19893,2947,1114,20357,8171,2216,580,0,0,21646,7187,17698,420,30587,221,32625,7700,Actual count,642,TRUE,,,11,199,5,65,101,2144,15,339,26,1808,1,40,8,611,3,60,9,579,48,5136,5673,Actual count,30,Wi-Fi extends outside building (left on 24/7),84960,Actual count,77.61,99.1,Oceanbooks,Innovative Interfaces,74918,26,2,4,0,52,1500,52389,Actual count,17000,17000,,2017,No,No,No,1,50,37.11,48.63,26.38,34.58,20.64,26.82,16.84,22.07,13.86,18.17,16987,ME,CI,SO,TRUE,PL2,https://newportoregon.gov/dept/lib/
OR0052,2022,North Bend Public Library,1800 Sherman Ave,North Bend,97459,1800 Sherman Ave,North Bend,97459,Coos,541-756-0400,CCLSD,1,0,0,,,4,4,6.25,15,168,TRUE,TRUE,6,7,0,0,30000,0,962607,1419,104551,,13411,26014,500000,0,0,50000,353581,195877,35802,,3675,9223,293630,Legal,21363,38925,0,58134,2276,4180,57,9619,252,162,28,56416,8403,733222,110548,35057,3841,184374,41621,,,25560,3687,160,3300,"Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Japanese; Korean; Russian; Thai, Lao; Vietnamese; other",5,1,22,0,61,396,37947,25439,6434,4187,12236,7008,191,147,0,0,11627,4588,17860,589,13640,330,59130,2766,Actual count,24,TRUE,,,25,265,14,361,2,1,130,1079,6,856,58,893,1,572,110,818,31,348,39,3043,3524,Actual count,11,Wi-Fi extends outside building (left on 24/7),226165,Actual count,62.1,231,Coastline,Koha,1902,35,5,3,0,57,2091,49937,Actual count,22129,22129,,2001,No,No,No,0,100,34.09,43.45,24.85,31.71,18.13,28.48,14.68,22.98,13.21,16.76,14549,ME,CI,SO,TRUE,PL2,http://www.northbendlibrary.org
OR9013,2022,North Douglas Library District,205 W A Ave,Drain,97435,PO Box 128,Drain,97435,Douglas,541-836-2648,NONE,1,0,0,806,151,0,0.8,1.2,64,265,TRUE,FALSE,1,2,1,0,0,0,96000,1000,0,,0,81000,0,0,0,0,67782,2500,16406,,4804,780,38225,,0,0,0,12429,2221,354,24,969,305,110,47,56416,8403,70,70,35057,3841,70,70,,,0,0,157,0,Chinese (including Mandarin & Cantonese); French; German; Japanese; Russian,0,0,22,0,0,0,4005,1029,1108,305,2499,592,379,112,0,0,1731,560,470,0,255,0,0,3951,Actual count,0,TRUE,,,48,340,61,3338,63,562,72,1383,0,0,244,5283,0,0,6,72,12,192,36,2000,332,Actual count,26,Wi-Fi extends outside building (left on through evening hours after library closes),3635,Actual count,47,16.8,NONE,Biblionix,3855,28,4,4,0,50,1286,4567,Actual count,4461,4461,,1987,No,No,No,0,35,21,23,0,0,16,18,13.75,16,0,0,2600,NO,LD,SO,TRUE,OTH,https://www.ndld.org/
OR0141,2022,North Plains Public Library,31334 NW Commercial St,North Plains,97133,31360 NW Commercial St,North Plains,97133,Washington,503-647-5051,WCCLS,1,0,0,2422,240,2,2,3.9,186,3820,TRUE,FALSE,4,0,7,0,329552,195589,0,1000,3750,,12728,9999,0,0,0,0,315454,124016,31553,,5735,5449,45061,other,0,4765,0,14907,2416,422,102,2356,295,79,27,0,0,129862,36035,0,0,73701,14133,,,28865,2841,325,10263,"Arabic; Chinese (including Mandarin & Cantonese); French; German; Hindi; Japanese; Korean; Russian; Somali; Swahili; Tagalog; Thai, Lao; Ukrainian; Vietnamese",16,1,22,0,51,1466,15619,11828,1392,1683,13496,11290,411,429,0,0,,16868,68022,128,44709,146,503,1560,Estimate,0,TRUE,,,156,3707,43,873,18,127,43,488,13,509,10,58,23,636,231,4898,,,93,3629,1411,Actual count,4,Wi-Fi extends outside building (left on 24/7),1575,Actual count,94.34,90.28,WCCLS,Polaris,4698,35,10,7,0,52,2650,21718,Actual count,2500,2500,,2006,No,No,No,0,140,38.21,47,,,26.39,32.46,16.93,23.37,,,5106,ME,CI,SO,TRUE,PL2,https://www.northplains.org/library
OR9005,2022,North Powder City Library,290 E St,North Powder,97867,PO Box 309,North Powder,97867,Union,541-898-2175,NONE,1,0,0,155,26,0,0,2,5,50,FALSE,FALSE,0,0,2,2,17955,3000,0,1000,0,,0,8431,0,0,0,0,10455,1231,353,,0,7525,11636,,0,0,0,4604,79,62,3,2137,101,7,0,56416,8403,0,0,35057,3841,0,0,,,0,0,0,0,,0,0,22,0,0,0,285,51,17,1,373,66,0,0,153,32,0,0,186,0,140,0,0,0,N/A (we do not track reference transactions),0,TRUE,,,0,0,9,83,0,0,0,0,0,0,0,0,2,45,0,0,0,0,20,30,38,Actual count,8,Wi-Fi extends outside building (left on 24/7),n/a,N/A (we don't track Wi-Fi usage),14.67,1.85,Sage,Evergreen,0,11,1,4,0,52,812,912,Actual count,771,771,,1930,Yes,No,No,0,,13.45,13.45,0,0,0,0,0,0,12.5,0,681,ME,CI,SO,TRUE,PL2,https://sagelib.org/member/north-powder-city-library
OR0053,2022,Nyssa Public Library,319 Main St,Nyssa,97913,319 Main St,Nyssa,97913,Malheur,541-372-2978,NONE,1,0,0,952,106,0,1,1,164,420,TRUE,FALSE,1,2,0,0,137513,0,0,1000,1000,,0,0,0,0,0,0,40694,33716,4300,,0,0,64803,,0,0,0,28091,969,468,67,576,75,41,5,56416,8403,0,0,35057,3841,0,0,,,0,0,794,0,Chinese (including Mandarin & Cantonese); French; German; Japanese; Russian,0,0,22,0,14,0,2481,1201,598,237,3722,996,0,0,52,9,2645,0,1079,0,1048,0,0,0,N/A (we do not track reference transactions),26,TRUE,,,52,466,1,44,1,44,1,44,2,66,2,50,3,50,0,0,0,0,479,400,,N/A (we don't track computer usage),6,Wi-Fi extends outside building (left on 24/7),n/a,N/A (we don't track Wi-Fi usage),360,28.3,Sage,Evergreen,,26,4,4,0,54,1473,7776,Actual count,5000,5000,,,Yes,Yes,Yes,0,30,,,0,0,0,0,,,0,0,3276,ME,CI,SO,TRUE,PL1,http://www.nyssacity.org/nyssa-library.html
OR9015,2022,Oakland Public Library,637 NE Locust St,Oakland,97462,637 Locust St,Oakland,97462,Douglas,541-459-9784,NONE,1,0,0,280,42,0,0,0,11,1255,TRUE,FALSE,0,0,1,0,16782,0,0,0,25000,,0,0,0,0,0,0,8782,2665,0,,0,0,3745,,0,0,0,9255,442,144,1,373,13,5,5,0,0,0,0,0,0,0,0,,,0,0,29,0,French,0,0,22,0,55,0,,,,,,,,,1165,220,,0,45,0,0,0,0,80,Actual count,0,TRUE,,,0,0,5,140,0,0,0,0,0,0,5,140,0,0,0,0,20,263,0,0,55,Actual count,10,Wi-Fi extends outside building (left on 24/7),n/a,N/A (we don't track Wi-Fi usage),83.08,47.34,NONE,Biblionix,184,11,2,7,0,42,594,793,Actual count,3322,3322,,,No,No,No,0,,,,,,,,,,,,932,NO,CI,SO,TRUE,PL1,https://oaklandor.biblionix.com/catalog/
OR0054,2022,Oakridge Public Library,48326 E 1st St,Oakridge,97463,PO Box 1410,Oakridge,97463,Lane,541-782-2258,NONE,1,0,0,489,104,0,0,1,20,1951,FALSE,FALSE,0,0,1,0,32250,0,0,0,4800,,0,5760,0,0,0,0,11150,900,1763,,493,50,8650,Facilities; Information Technology,0,5503,2070,2100,581,997,18,2863,205,0,0,56416,8403,260,0,35057,3841,0,0,,,0,0,0,0,,0,0,22,0,0,0,3004,750,50,8,1014,262,0,0,21,2,1012,0,103,0,139,0,0,300,Estimate,0,TRUE,,,4,10,4,26,0,0,4,10,0,0,8,20,0,0,0,0,0,0,35,70,1314,Actual count,4,Wi-Fi extends outside building (left on 24/7),520,Estimate,90.49,90.86,Lane Council of Libraries,SirsiDynix,148,28,0,4,0,52,1664,8200,Actual count,3200,3200,,2012,Yes,Yes,Yes,0,10,18.94,18.94,0,0,0,0,0,0,0,0,3238,ME,CI,SO,TRUE,PL1,https://www.ci.oakridge.or.us/
